age,id,profession,family_size,gender,ever_married,graduated,spending_score,segmentation
45,67,Engineer,2,Male,Yes,Yes,Average,C
30,68,Healthcare,4,Male,No,No,Low,C
26,69,Healthcare,3,Female,No,No,Low,D
63,70,Artist,1,Male,Yes,Yes,Low,A
35,71,Entertainment,4,Male,Yes,No,Average,B
19,72,Marketing,3,Female,No,No,Low,A
32,73,Healthcare,5,Male,No,No,Low,D
52,74,Artist,3,Male,Yes,Yes,Average,C
36,75,Artist,2,Female,Yes,Yes,Low,C
42,76,Entertainment,3,Female,No,No,Low,D
40,77,Doctor,2,Male,Yes,No,Average,D
39,78,Entertainment,3,Male,No,Yes,Low,B
47,79,Artist,4,Female,Yes,Yes,Average,C
61,80,Artist,2,Female,Yes,Yes,High,C
32,81,Entertainment,2,Male,Yes,No,Low,D
55,82,Artist,1,Male,Yes,No,Low,B
38,83,Artist,1,Female,No,Yes,Low,D
63,84,Artist,2,Male,Yes,Yes,High,C
58,85,Doctor,2,Male,Yes,Yes,Average,C
30,86,Engineer,3,Male,Yes,No,Average,D
60,87,Artist,4,Male,Yes,Yes,Average,C
68,88,Executive,7,Male,Yes,No,High,B
52,89,Artist,3,Male,Yes,No,Low,A
38,90,Executive,5,Male,Yes,No,High,A
35,91,Healthcare,2,Female,Yes,Yes,Low,B
18,92,Doctor,2,Male,No,No,Low,D
30,93,Homemaker,2,Male,Yes,Yes,Low,D
86,94,Lawyer,1,Male,No,No,Low,D
25,95,Healthcare,3,Male,No,No,Low,D
39,96,Artist,1,Female,No,Yes,Low,A
47,97,Artist,1,Male,No,Yes,Low,C
43,98,Executive,3,Male,Yes,Yes,High,D
36,99,Executive,4,Male,Yes,No,Average,B
80,100,Lawyer,1,Male,Yes,No,Low,D
36,101,Artist,2,Male,No,Yes,Low,C
37,102,Artist,2,Female,Yes,Yes,High,A
46,103,Executive,3,Male,Yes,Yes,High,C
55,104,Executive,4,Male,Yes,No,High,B
47,105,Engineer,4,Female,Yes,No,Average,B
28,106,Healthcare,3,Female,No,Yes,Low,D
39,107,Entertainment,2,Male,Yes,No,Low,D
27,108,Marketing,2,Female,Yes,No,Low,A
72,109,Artist,2,Male,Yes,Yes,Average,C
28,110,Engineer,2,Female,Yes,Yes,Low,A
35,111,Entertainment,5,Male,No,Yes,Low,C
39,112,Executive,5,Male,Yes,Yes,High,A
69,113,Lawyer,2,Female,Yes,Yes,High,C
18,114,Healthcare,4,Male,No,No,Low,D
50,115,Engineer,2,Female,Yes,Yes,High,B
30,116,Executive,5,Male,No,No,Low,A
39,117,Artist,4,Female,No,Yes,Low,D
29,118,Marketing,4,Female,No,No,Low,D
37,119,Artist,4,Female,Yes,Yes,Low,B
39,120,Engineer,2,Female,Yes,Yes,Average,A
48,121,Artist,5,Female,Yes,Yes,Average,C
32,122,Doctor,3,Female,No,Yes,Low,C
43,123,Engineer,5,Female,Yes,No,Average,B
29,124,Marketing,5,Male,No,No,Low,C
28,125,Engineer,2,Female,Yes,No,Average,A
80,126,Lawyer,1,Male,Yes,Yes,Low,B
28,127,Healthcare,4,Female,No,Yes,Low,D
71,128,Artist,3,Male,Yes,Yes,Average,C
67,129,Lawyer,9,Male,Yes,No,High,A
26,130,Engineer,1,Female,No,No,Low,A
47,131,Engineer,2,Female,Yes,Yes,Average,C
43,132,Artist,2,Female,Yes,Yes,Average,B
27,133,Healthcare,4,Female,No,Yes,Low,C
45,134,Marketing,4,Female,Yes,Yes,Low,D
76,135,Executive,1,Male,Yes,No,Low,C
43,136,Artist,4,Female,Yes,Yes,Average,C
78,137,Lawyer,2,Female,Yes,Yes,High,B
35,138,Artist,3,Male,Yes,Yes,Average,C
49,139,Artist,1,Female,No,Yes,Low,C
25,140,Healthcare,5,Female,No,Yes,Low,D
37,141,Executive,5,Male,Yes,No,Average,A
32,142,Healthcare,5,Female,No,No,Low,C
60,143,Doctor,2,Male,Yes,Yes,Average,C
45,144,Artist,3,Female,Yes,Yes,Average,C
49,145,Homemaker,3,Female,Yes,Yes,Average,C
32,146,Artist,5,Male,No,Yes,Low,D
40,147,Artist,3,Female,Yes,Yes,Low,B
59,148,Artist,2,Male,Yes,No,Average,C
48,149,Artist,5,Male,Yes,Yes,Low,B
82,150,Executive,2,Male,Yes,Yes,High,C
70,151,Lawyer,2,Female,Yes,Yes,Low,B
31,152,Artist,2,Male,No,Yes,Low,B
72,153,Lawyer,2,Female,Yes,Yes,High,C
50,154,Artist,4,Male,Yes,Yes,Average,C
23,155,Engineer,1,Female,No,No,Low,D
20,156,Healthcare,6,Female,No,No,Low,D
22,157,Healthcare,3,Female,No,No,Low,D
31,158,Engineer,1,Female,No,Yes,Low,A
36,159,Artist,2,Female,Yes,Yes,Average,C
40,160,Artist,4,Male,Yes,Yes,Average,C
40,161,Artist,1,Female,No,Yes,Low,A
21,162,Doctor,3,Female,No,No,Low,A
41,163,Engineer,2,Female,Yes,No,Average,D
40,164,Artist,2,Male,Yes,Yes,Low,B
53,165,Artist,3,Male,Yes,Yes,Average,B
42,166,Artist,2,Female,Yes,Yes,Low,C
42,167,Executive,2,Male,Yes,No,Low,D
59,168,Artist,2,Male,Yes,Yes,Low,C
41,169,Executive,3,Male,Yes,Yes,Average,A
31,170,Artist,2,Female,Yes,Yes,Average,A
49,171,Artist,5,Female,Yes,Yes,High,B
67,172,Executive,2,Male,Yes,Yes,Low,A
35,173,Artist,2,Male,Yes,No,Average,B
26,174,Healthcare,3,Female,No,Yes,Low,C
25,175,Engineer,8,Female,Yes,No,Average,D
39,176,Healthcare,2,Female,Yes,Yes,Low,A
63,177,Entertainment,2,Male,Yes,Yes,Low,A
23,178,Healthcare,3,Male,No,No,Low,D
23,179,Healthcare,3,Female,No,No,Low,D
53,180,Artist,1,Female,Yes,Yes,Low,C
33,181,Doctor,2,Male,No,Yes,Low,B
69,182,Engineer,2,Female,Yes,Yes,Low,B
37,183,Artist,1,Male,No,Yes,Low,B
20,184,Marketing,4,Female,No,No,Low,C
49,185,Doctor,4,Female,Yes,Yes,Average,C
18,186,Healthcare,3,Male,No,No,Low,D
52,187,Doctor,2,Female,Yes,Yes,Average,C
28,188,Engineer,2,Male,Yes,Yes,Average,A
28,189,Artist,3,Female,No,Yes,Low,A
20,190,Healthcare,5,Male,No,No,Low,D
27,191,Homemaker,1,Female,No,No,Low,D
45,192,Artist,4,Male,Yes,Yes,Average,B
25,193,Healthcare,4,Male,No,Yes,Low,B
40,194,Marketing,1,Male,No,No,Low,D
23,195,Healthcare,4,Female,No,No,Low,D
67,196,Lawyer,2,Female,Yes,Yes,High,B
21,197,Healthcare,4,Male,No,No,Low,D
38,198,Artist,1,Female,No,Yes,Low,A
28,199,Healthcare,4,Male,No,No,Low,C
32,200,Healthcare,5,Female,No,No,Low,B
56,201,Lawyer,4,Female,Yes,No,High,B
53,202,Artist,2,Female,Yes,Yes,Low,C
57,203,Executive,5,Male,Yes,No,High,C
59,204,Artist,3,Female,Yes,Yes,Average,C
25,205,Healthcare,4,Female,Yes,Yes,High,A
59,206,Artist,6,Male,Yes,Yes,Average,C
36,207,Artist,4,Female,Yes,Yes,Low,C
37,208,Entertainment,2,Male,Yes,Yes,Low,A
22,209,Doctor,3,Male,No,No,Low,D
43,210,Artist,2,Male,Yes,Yes,Low,B
41,211,Artist,2,Male,Yes,Yes,Low,A
21,212,Engineer,5,Female,No,No,Low,B
38,213,Doctor,1,Male,No,Yes,Low,B
70,214,Lawyer,3,Male,Yes,Yes,High,C
31,215,Engineer,4,Female,No,No,Low,B
82,216,Lawyer,2,Female,Yes,No,Average,A
38,217,Artist,3,Male,No,Yes,Low,A
18,218,Executive,4,Male,Yes,No,High,A
50,219,Artist,3,Male,Yes,Yes,Average,C
72,220,Lawyer,3,Female,Yes,No,High,D
25,221,Homemaker,7,Female,No,No,Low,B
75,222,Entertainment,2,Female,Yes,No,High,D
72,223,Artist,1,Male,No,Yes,Low,B
72,224,Artist,3,Female,Yes,Yes,Average,C
36,225,Entertainment,6,Male,Yes,Yes,Low,A
40,226,Artist,2,Male,Yes,Yes,Low,A
28,227,Entertainment,4,Female,No,Yes,Low,C
28,228,Doctor,3,Female,No,Yes,Low,D
43,229,Artist,2,Male,Yes,Yes,Low,B
35,230,Artist,2,Female,Yes,Yes,Average,B
65,231,Lawyer,2,Male,Yes,Yes,High,B
52,232,Executive,4,Male,Yes,Yes,High,C
40,233,Artist,1,Female,No,Yes,Low,B
69,234,Engineer,3,Female,Yes,No,Low,A
22,235,Healthcare,3,Female,No,No,Low,D
47,236,Executive,4,Male,Yes,Yes,Average,C
29,237,Marketing,2,Male,Yes,Yes,High,A
46,238,Artist,3,Male,Yes,Yes,Average,C
32,239,Artist,2,Male,No,Yes,Low,A
38,240,Healthcare,1,Female,No,Yes,Low,C
59,241,Artist,1,Male,Yes,Yes,Low,B
26,242,Entertainment,1,Female,No,Yes,Low,D
26,243,Healthcare,2,Male,No,Yes,Low,A
28,244,Marketing,1,Male,No,No,Low,D
53,245,Engineer,3,Female,Yes,Yes,Average,C
27,246,Doctor,3,Male,No,No,Low,D
26,247,Engineer,4,Male,No,No,Low,D
31,248,Entertainment,2,Female,No,No,Low,D
39,249,Executive,3,Male,Yes,Yes,High,B
43,250,Engineer,3,Female,Yes,No,Low,A
25,251,Doctor,2,Male,Yes,No,Low,A
40,252,Artist,3,Male,Yes,Yes,High,A
40,253,Entertainment,2,Female,Yes,Yes,Average,B
27,254,Healthcare,3,Male,No,Yes,Low,D
19,255,Healthcare,2,Female,No,No,Low,D
86,256,Lawyer,2,Female,Yes,Yes,High,B
27,257,Artist,2,Female,Yes,Yes,Average,C
70,258,Doctor,2,Female,Yes,No,Average,B
53,259,Engineer,4,Female,Yes,No,Average,B
43,260,Executive,4,Male,Yes,No,High,A
36,261,Doctor,3,Male,Yes,No,Low,A
74,262,Lawyer,2,Male,Yes,Yes,Low,C
30,263,Homemaker,4,Female,No,No,Low,D
37,264,Artist,2,Female,No,Yes,Low,B
22,265,Marketing,1,Female,No,No,Low,B
70,266,Engineer,2,Male,Yes,Yes,High,B
89,267,Lawyer,1,Male,Yes,Yes,Low,A
25,268,Doctor,1,Male,No,Yes,Low,D
45,269,Artist,1,Female,No,Yes,Low,A
35,270,Artist,1,Female,No,Yes,Low,A
37,271,Engineer,1,Female,Yes,No,Low,D
39,272,Engineer,2,Female,Yes,No,Average,B
32,273,Healthcare,5,Female,No,Yes,Low,D
62,274,Artist,3,Female,Yes,Yes,Average,C
58,275,Engineer,4,Female,Yes,Yes,Average,B
25,276,Healthcare,5,Male,No,No,Low,C
56,277,Artist,4,Female,Yes,Yes,Average,C
36,278,Entertainment,2,Female,No,Yes,Low,A
30,279,Healthcare,3,Female,No,No,Low,A
19,280,Healthcare,5,Male,No,No,Low,D
27,281,Healthcare,2,Male,No,Yes,Low,A
38,282,Doctor,1,Female,No,Yes,Low,A
46,283,Artist,2,Male,Yes,Yes,Average,C
29,284,Artist,1,Male,No,Yes,Low,B
51,285,Entertainment,4,Male,Yes,No,Average,B
55,286,Artist,1,Male,Yes,No,Low,A
69,287,Engineer,1,Female,Yes,Yes,Low,A
26,288,Healthcare,8,Female,No,No,Low,C
83,289,Lawyer,3,Female,Yes,Yes,Low,A
39,290,Healthcare,1,Female,No,Yes,Low,D
35,291,Artist,1,Male,Yes,Yes,Low,A
19,292,Marketing,5,Male,Yes,No,High,C
29,293,Healthcare,3,Female,No,No,Low,B
26,294,Doctor,1,Female,No,No,Low,D
36,295,Engineer,1,Male,No,Yes,Low,A
22,296,Homemaker,4,Female,No,No,Low,D
19,297,Marketing,5,Male,No,No,Low,A
20,298,Lawyer,3,Female,Yes,Yes,Average,A
43,299,Healthcare,3,Male,No,Yes,Low,D
43,300,Entertainment,2,Male,No,Yes,Low,A
50,301,Engineer,3,Female,Yes,Yes,High,B
25,302,Entertainment,2,Male,No,Yes,Low,A
61,303,Artist,2,Male,Yes,No,High,B
28,304,Healthcare,2,Female,Yes,Yes,Average,A
38,305,Artist,1,Male,No,Yes,Low,D
25,306,Executive,3,Male,No,No,Low,A
18,307,Healthcare,5,Female,No,No,Low,D
43,308,Entertainment,5,Male,Yes,Yes,Average,C
27,309,Artist,1,Female,No,Yes,Low,B
60,310,Entertainment,2,Female,No,Yes,Low,D
75,311,Lawyer,1,Male,Yes,Yes,Low,D
23,312,Doctor,4,Male,No,No,Low,D
36,313,Artist,1,Male,No,Yes,Low,A
30,314,Doctor,1,Male,No,No,Low,C
56,315,Artist,2,Male,Yes,No,Average,C
52,316,Artist,2,Female,Yes,Yes,Low,C
39,317,Entertainment,1,Male,Yes,Yes,Low,D
35,318,Artist,1,Female,No,No,Low,A
33,319,Engineer,2,Male,Yes,No,Average,B
25,320,Artist,6,Female,No,Yes,Low,A
27,321,Artist,2,Female,Yes,Yes,Average,B
35,322,Artist,3,Male,Yes,Yes,High,A
41,323,Artist,2,Female,Yes,Yes,Average,C
46,324,Artist,2,Female,Yes,No,Average,B
26,325,Artist,1,Female,No,Yes,Low,A
43,326,Doctor,2,Male,Yes,Yes,High,B
30,327,Artist,4,Female,Yes,Yes,Low,A
70,328,Artist,4,Female,Yes,Yes,Average,C
89,329,Lawyer,1,Female,Yes,No,High,D
42,330,Homemaker,4,Female,Yes,No,High,B
37,331,Entertainment,3,Female,Yes,Yes,Average,A
29,332,Executive,3,Male,Yes,No,Average,D
68,333,Artist,2,Female,Yes,Yes,High,C
25,334,Engineer,1,Female,No,No,Low,D
48,335,Doctor,2,Female,Yes,Yes,Low,C
51,336,Doctor,3,Female,Yes,Yes,Average,C
40,337,Engineer,5,Female,Yes,Yes,High,B
47,338,Artist,6,Male,Yes,Yes,Average,B
35,339,Executive,4,Male,Yes,Yes,Average,C
19,340,Healthcare,3,Female,No,No,Low,D
46,341,Entertainment,3,Male,Yes,Yes,Average,B
86,342,Lawyer,1,Male,Yes,Yes,Low,B
66,343,Artist,2,Male,Yes,Yes,High,B
42,344,Marketing,5,Male,No,No,Low,D
73,345,Lawyer,2,Female,Yes,Yes,High,B
72,346,Engineer,1,Male,Yes,No,Low,A
53,347,Artist,3,Male,Yes,Yes,Low,B
39,348,Artist,2,Female,Yes,Yes,Average,C
27,349,Homemaker,1,Female,No,No,Low,D
23,350,Healthcare,3,Female,No,No,Low,D
30,351,Entertainment,4,Female,No,Yes,Low,B
39,352,Artist,2,Female,Yes,Yes,Average,C
26,353,Artist,3,Male,Yes,Yes,Average,B
50,354,Entertainment,3,Female,Yes,Yes,Low,A
45,355,Artist,2,Female,Yes,Yes,Average,C
62,356,Entertainment,1,Female,No,No,Low,A
27,357,Doctor,3,Female,No,Yes,Low,A
30,358,Engineer,7,Female,Yes,No,Average,A
32,359,Healthcare,4,Male,No,No,Low,A
47,360,Artist,3,Male,No,No,Low,B
32,361,Artist,4,Female,No,Yes,Low,A
32,362,Engineer,3,Female,Yes,No,Low,A
67,363,Doctor,4,Male,Yes,Yes,Average,B
77,364,Lawyer,2,Female,Yes,Yes,High,C
31,365,Entertainment,1,Male,No,No,Low,A
42,366,Artist,3,Male,Yes,Yes,Low,A
50,367,Artist,4,Male,Yes,Yes,Average,C
71,368,Artist,5,Male,Yes,Yes,Average,C
72,369,Lawyer,3,Female,Yes,No,Low,A
45,370,Artist,2,Male,Yes,Yes,Average,C
40,371,Engineer,5,Female,No,No,Low,A
36,372,Engineer,1,Female,No,Yes,Low,A
30,373,Healthcare,4,Male,No,No,Low,D
29,374,Healthcare,4,Female,No,Yes,Low,B
28,375,Engineer,5,Male,No,Yes,Low,D
40,376,Artist,2,Female,Yes,Yes,Average,C
52,377,Artist,2,Female,Yes,Yes,Average,C
26,378,Artist,6,Male,No,No,Low,D
55,379,Marketing,1,Female,No,Yes,Low,B
20,380,Doctor,4,Female,No,No,Low,D
87,381,Lawyer,2,Female,Yes,Yes,High,C
28,382,Healthcare,2,Male,No,No,Low,A
38,383,Artist,2,Male,No,No,Low,A
42,384,Entertainment,2,Male,Yes,No,Low,B
42,385,Marketing,6,Male,Yes,No,High,A
29,386,Engineer,4,Female,No,No,Low,D
32,387,Doctor,4,Male,No,Yes,Low,A
59,388,Artist,2,Female,Yes,No,High,C
22,389,Healthcare,2,Male,No,No,Low,D
78,390,Artist,2,Female,Yes,Yes,High,C
32,391,Healthcare,3,Female,No,Yes,Low,A
37,392,Artist,4,Male,Yes,Yes,Average,C
37,393,Healthcare,4,Male,Yes,Yes,High,B
47,394,Artist,4,Male,Yes,No,High,B
68,395,Lawyer,2,Female,Yes,Yes,High,A
30,396,Healthcare,5,Male,No,Yes,Low,C
48,397,Entertainment,1,Female,Yes,Yes,Low,A
43,398,Artist,1,Female,No,Yes,Low,C
33,399,Healthcare,2,Male,Yes,Yes,Low,D
31,400,Healthcare,5,Male,Yes,No,Average,D
32,401,Healthcare,2,Male,Yes,Yes,Low,D
21,402,Healthcare,4,Female,No,No,Low,D
29,403,Homemaker,4,Female,No,No,Low,D
35,404,Artist,2,Female,Yes,Yes,Low,A
46,405,Artist,3,Male,Yes,No,Low,A
38,406,Artist,2,Female,Yes,Yes,High,B
32,407,Healthcare,3,Female,No,Yes,Low,C
28,408,Artist,7,Female,No,Yes,Low,A
68,409,Lawyer,1,Female,Yes,Yes,Low,A
45,410,Artist,1,Female,Yes,Yes,Low,C
58,411,Artist,3,Male,Yes,Yes,Average,C
28,412,Entertainment,2,Male,No,No,Low,A
32,413,Healthcare,3,Female,No,No,Low,A
30,414,Doctor,1,Male,No,Yes,Low,B
42,415,Homemaker,4,Female,Yes,No,Average,D
18,416,Healthcare,4,Female,No,No,Low,D
29,417,Healthcare,3,Female,Yes,Yes,Low,D
33,418,Healthcare,3,Female,No,Yes,Low,A
57,419,Doctor,2,Female,Yes,Yes,Low,A
36,420,Executive,3,Male,Yes,Yes,Low,D
57,421,Executive,3,Male,Yes,Yes,High,C
18,422,Healthcare,2,Male,No,No,Low,D
52,423,Artist,6,Male,Yes,Yes,Average,C
37,424,Entertainment,2,Female,Yes,Yes,Average,B
36,425,Marketing,1,Male,No,Yes,Low,A
29,426,Healthcare,3,Female,No,Yes,Low,A
45,427,Artist,4,Male,Yes,Yes,Average,C
61,428,Artist,1,Male,No,Yes,Low,B
52,429,Entertainment,4,Male,Yes,Yes,Average,A
49,430,Homemaker,1,Female,Yes,Yes,Low,A
31,431,Healthcare,5,Female,No,No,Low,C
42,432,Entertainment,3,Male,Yes,No,Low,A
51,433,Engineer,5,Male,Yes,Yes,Average,C
42,434,Healthcare,1,Female,No,Yes,Low,D
29,435,Doctor,4,Male,No,Yes,Low,C
33,436,Healthcare,1,Female,No,Yes,Low,A
21,437,Healthcare,4,Female,No,No,Low,D
35,438,Artist,3,Male,Yes,No,Average,B
42,439,Doctor,1,Female,No,Yes,Low,A
41,440,Artist,1,Female,No,Yes,Low,C
39,441,Artist,3,Male,No,Yes,Low,B
28,442,Doctor,1,Female,No,No,Low,A
61,443,Doctor,2,Female,Yes,Yes,Average,B
62,444,Artist,4,Male,Yes,Yes,Average,C
65,445,Entertainment,2,Male,Yes,Yes,Average,C
45,446,Doctor,2,Male,Yes,Yes,Average,A
26,447,Engineer,2,Female,Yes,Yes,Low,B
25,448,Artist,5,Female,No,Yes,Low,C
45,449,Artist,4,Female,Yes,Yes,Average,C
43,450,Executive,4,Male,Yes,No,High,B
49,451,Executive,3,Male,Yes,Yes,High,C
55,452,Artist,2,Male,Yes,Yes,Average,C
37,453,Artist,1,Female,No,Yes,Low,B
65,454,Entertainment,2,Male,Yes,Yes,High,C
39,455,Engineer,3,Female,No,No,Low,A
40,456,Artist,2,Female,Yes,Yes,Average,C
72,457,Entertainment,3,Male,Yes,Yes,Average,C
38,458,Homemaker,1,Female,No,No,Low,B
26,459,Marketing,5,Male,No,No,Low,D
30,460,Doctor,3,Male,No,Yes,Low,D
57,461,Marketing,4,Male,No,Yes,Low,A
31,462,Healthcare,1,Female,No,Yes,Low,D
39,463,Artist,1,Male,No,Yes,Low,A
30,464,Engineer,4,Female,No,No,Low,A
43,465,Artist,3,Female,Yes,No,Average,A
27,466,Healthcare,1,Male,No,Yes,Low,C
46,467,Artist,4,Female,Yes,No,Average,C
43,468,Artist,2,Male,Yes,No,Low,B
28,469,Entertainment,4,Male,Yes,No,Average,D
43,470,Entertainment,1,Male,No,Yes,Low,D
30,471,Engineer,1,Female,No,No,Low,B
58,472,Healthcare,2,Male,No,No,Low,D
38,473,Engineer,4,Female,No,Yes,Low,A
31,474,Artist,4,Female,No,Yes,Low,D
32,475,Executive,5,Male,Yes,No,Average,D
45,476,Artist,4,Male,Yes,Yes,Average,C
66,477,Artist,3,Male,Yes,Yes,Low,A
51,478,Artist,3,Female,Yes,Yes,Average,C
46,479,Artist,5,Male,Yes,Yes,Average,C
20,480,Healthcare,6,Male,No,No,Low,D
84,481,Lawyer,2,Female,Yes,No,High,C
57,482,Entertainment,5,Male,Yes,Yes,Average,A
33,483,Doctor,1,Female,No,No,Low,A
25,484,Marketing,3,Male,No,No,Low,D
77,485,Lawyer,1,Male,Yes,Yes,Low,C
30,486,Healthcare,2,Male,Yes,Yes,Low,A
23,487,Healthcare,5,Male,No,No,Low,D
43,488,Artist,4,Female,No,Yes,Low,B
39,489,Entertainment,1,Male,No,Yes,Low,A
29,490,Executive,2,Male,Yes,No,High,D
45,491,Engineer,2,Female,Yes,No,Low,D
48,492,Executive,2,Male,Yes,No,High,D
27,493,Entertainment,4,Male,Yes,No,Average,A
60,494,Entertainment,4,Female,Yes,No,Low,B
45,495,Entertainment,3,Male,Yes,Yes,Average,B
33,496,Doctor,4,Male,No,No,Low,C
51,497,Artist,5,Male,Yes,Yes,Low,A
67,498,Executive,1,Male,Yes,No,High,C
38,499,Artist,2,Male,Yes,Yes,Average,C
40,500,Doctor,1,Female,No,Yes,Low,C
45,501,Artist,2,Female,Yes,Yes,Average,B
48,502,Artist,4,Male,Yes,Yes,Average,C
69,503,Lawyer,2,Female,Yes,No,Average,C
21,504,Healthcare,5,Male,No,No,Low,D
72,505,Artist,3,Male,Yes,Yes,Low,C
21,506,Marketing,5,Female,No,No,Low,D
48,507,Artist,1,Female,Yes,Yes,Low,A
28,508,Healthcare,5,Male,No,No,Low,D
55,509,Entertainment,2,Male,Yes,Yes,Low,A
56,510,Artist,2,Female,No,Yes,Low,C
50,511,Doctor,2,Male,Yes,Yes,Low,C
21,512,Healthcare,4,Male,No,No,Low,D
18,513,Healthcare,6,Male,No,No,Low,D
68,514,Lawyer,2,Male,Yes,Yes,High,B
47,515,Artist,1,Male,Yes,Yes,Low,C
75,516,Lawyer,2,Male,Yes,No,High,B
31,517,Healthcare,4,Male,No,Yes,Low,D
30,518,Artist,3,Female,No,Yes,Low,A
41,519,Artist,4,Female,Yes,Yes,Low,A
35,520,Healthcare,1,Female,Yes,No,Low,A
37,521,Healthcare,1,Male,Yes,Yes,Low,D
50,522,Doctor,3,Male,Yes,Yes,Average,C
36,523,Artist,2,Male,Yes,Yes,Average,C
26,524,Marketing,3,Female,No,No,Low,A
22,525,Healthcare,4,Male,No,No,Low,D
19,526,Healthcare,3,Female,No,No,Low,D
45,527,Artist,5,Female,Yes,Yes,Average,C
31,528,Doctor,4,Female,No,No,Low,D
56,529,Artist,3,Male,Yes,Yes,Average,C
25,530,Healthcare,3,Female,No,Yes,Low,B
73,531,Lawyer,1,Female,Yes,Yes,Low,B
62,532,Doctor,4,Male,Yes,Yes,Average,C
46,533,Entertainment,3,Male,Yes,No,Average,A
25,534,Executive,2,Male,Yes,Yes,High,A
27,535,Marketing,2,Male,No,Yes,Low,A
87,536,Executive,2,Male,Yes,No,Low,A
47,537,Artist,1,Female,Yes,Yes,Low,A
57,538,Artist,4,Male,Yes,Yes,Average,C
60,539,Artist,4,Male,Yes,Yes,Average,A
28,540,Healthcare,3,Male,No,Yes,Low,D
39,541,Doctor,3,Male,No,Yes,Low,C
47,542,Marketing,1,Female,No,Yes,Low,D
69,543,Artist,3,Male,Yes,Yes,Average,A
42,544,Artist,1,Female,No,Yes,Low,D
46,545,Engineer,1,Female,Yes,Yes,Low,D
23,546,Marketing,3,Female,No,No,Low,C
45,547,Artist,5,Male,No,Yes,Low,C
38,548,Doctor,4,Female,Yes,Yes,Average,B
71,549,Lawyer,3,Female,Yes,No,High,D
26,550,Doctor,2,Female,No,No,Low,D
60,551,Artist,2,Female,Yes,Yes,High,C
